11:30:51.664 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:53.588 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:30:53.668 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:30:53.825 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:30:53.995 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:30:54.050 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:30:54.068 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:30:54.169 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:30:54.216 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:30:54.232 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:30:54.626 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:30:54.646 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:31:46.630 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:46.667 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:31:46.672 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:31:46.686 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} removed from the database
11:31:47.273 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:47.283 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:31:47.288 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:31:47.436 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:47.438 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} added to the database
11:31:47.462 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} removed from the database
11:31:47.568 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:47.750 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:47.761 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:31:47.869 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:47.886 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:31:47.891 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:31:48.089 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:48.097 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:31:48.101 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:31:48.174 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:31:48.568 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:31:48.625 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:31:48.640 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:31:48.740 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:31:48.907 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:31:49.096 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:31:49.150 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:31:49.168 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:31:49.264 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:31:49.331 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:31:49.347 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:31:49.734 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:31:49.755 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:56:19.492 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:19.529 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:56:19.547 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:56:19.564 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} removed from the database
11:56:20.077 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:20.084 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:56:20.087 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:56:20.270 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:20.273 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} added to the database
11:56:20.306 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} removed from the database
11:56:20.429 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:20.610 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:20.619 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:56:20.765 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:20.796 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:56:20.807 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:56:21.047 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:21.056 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:56:21.060 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:56:21.130 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:56:21.485 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:56:21.537 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:56:21.554 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:56:21.647 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:56:21.813 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:56:21.989 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:56:22.056 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:56:22.077 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:56:22.173 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:56:22.232 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
11:56:22.247 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
11:56:22.585 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:56:22.603 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:03:12.076 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:12.102 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:03:12.106 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:03:12.119 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} removed from the database
12:03:12.670 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:12.682 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:03:12.693 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:03:12.812 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:12.814 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} added to the database
12:03:12.830 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} removed from the database
12:03:12.975 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:13.145 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:13.155 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:03:13.236 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:13.249 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:03:13.252 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:03:13.490 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:13.496 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:03:13.500 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:03:13.571 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:03:14.084 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:03:14.140 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:03:14.157 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:03:14.253 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:03:14.404 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:03:14.600 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:03:14.696 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:03:14.784 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:03:14.904 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:03:14.961 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:03:14.978 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:03:15.374 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:03:15.397 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:16:05.465 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:05.492 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:16:05.506 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:16:05.518 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} removed from the database
12:16:06.082 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:06.099 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:16:06.111 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:16:06.316 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:06.317 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} added to the database
12:16:06.326 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} removed from the database
12:16:06.434 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:06.660 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:06.668 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:16:06.753 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:06.767 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:16:06.770 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:16:06.998 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:07.006 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:16:07.010 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:16:07.091 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:16:07.497 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:16:07.560 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:16:07.575 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:16:07.657 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:16:07.825 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:16:08.001 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:16:08.061 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:16:08.078 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:16:08.188 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:16:08.251 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:16:08.270 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:16:08.629 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:16:08.650 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:59:43.704 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:43.760 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:59:43.764 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:59:43.776 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} removed from the database
12:59:44.295 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:44.303 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:59:44.306 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:59:44.389 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:44.391 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} added to the database
12:59:44.400 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} removed from the database
12:59:44.585 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:44.744 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:44.753 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:59:44.853 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:44.873 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:59:44.878 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:59:45.107 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:45.114 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
12:59:45.118 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
12:59:45.222 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
12:59:46.178 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:59:46.520 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:59:46.535 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:59:46.612 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:59:46.779 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:59:46.928 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:59:46.976 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:59:46.993 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:59:47.089 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:59:47.181 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
12:59:47.221 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=4, brand=SKODA} added to the database
12:59:47.559 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
12:59:47.579 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
